ind,genPC1_LecPine,genPC2_LecPine,genPC3_LecPine,ID,avg_perc_PP_reads_mapped,MERGED_FINAL_read_count,species,city,state,area,latitude,longitude,host,stage,lcPC1,lcPC2,change_tmax,site_number,grouped_site_number_5km,allele_imbalance,average_depth_coverage,missingness,heterozygosity,pop,admix_prop_k2,lec_blue_k2,pine_orange_k2,lec_blue_k3,pine_orange_k3,lec_purple_k3,lec_blue_k4,pine_orange_k4,lec_purple_k4,lec_green_k4
21074D-06-136,0.0236412,0.0720643,-0.00474636,LL064_AG1,0.94735,38852958,lecontei,Lexington,KY,Central,38.014,-84.504,pitch,larva,-2.265811222,-0.288857847,0.378060503,41,32,13.64312,20.5,0.010466122,0.150223055,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-137,0.0236307,0.0714963,-0.00470142,LL070_AG1,0.97755,41113426,lecontei,Lexington,KY,Central,38.014,-84.504,pitch,larva,-2.265811222,-0.288857847,0.378060503,41,32,12.33928,21.8,0.010398505,0.155356864,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-138,0.023606,0.072435,-0.00506045,LL072_AG1,0.96785,41742012,lecontei,Lexington,KY,Central,38.014,-84.504,virginia,larva,-2.265811222,-0.288857847,0.378060503,41,32,14.59168,22.4,0.006611961,0.10075846,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-139,0.023476,0.0708088,-0.00448785,LL078_AG1,0.96565,43202794,lecontei,Lexington,KY,Central,38.014,-84.504,pitch,larva,-2.265811222,-0.288857847,0.378060503,41,32,11.66833,22.5,0.004539988,0.15944476,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-140,0.0198883,0.0360867,-0.0012822,LL084_AG1,0.93655,40192980,lecontei,Yarmouth,MA,Central,41.645447,-70.230227,pitch,larva,-1.140378451,4.11841117,1.047666201,97,69,14.4153,21.4,0.008722573,0.150426568,lecontei_MA,0.0109,0.9891,0.0109,0.2407,3.00E-04,0.759,0.0701,0,0.288,0.6419
21074D-06-141,0.0233843,0.0695809,-0.00431356,LL097_AG1,0.94,43116032,lecontei,Lexington,KY,Central,38.043602,-84.496549,mugo,larva,-2.307991035,-0.385557331,0.386869693,50,32,11.11818,23.1,0.003757565,0.158408114,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-142,0.0234599,0.0699474,-0.00457232,LL098_AG1,0.9536,46499082,lecontei,Lexington,KY,Central,38.043602,-84.496549,mugo,larva,-2.307991035,-0.385557331,0.386869693,50,32,10.7651,24,0.002554951,0.164361805,lecontei_KY,0,1,0,0.09,0,0.91,0,0,0.9879,0.0121
21074D-06-143,0.0233053,0.0697172,-0.00444991,LL100_AG1,0.93315,42089498,lecontei,Lexington,KY,Central,38.023298,-84.493682,austrian,larva,-2.289588632,-0.335137918,0.376932073,43,32,13.46482,22.5,0.005051944,0.12939132,lecontei_KY,0,1,0,0.09,0,0.91,0,0,0.9893,0.0107
21074D-06-144,0.0235124,0.0715144,-0.00488366,LL102_AG1,0.97945,45840776,lecontei,Lexington,KY,Central,38.014,-84.504,pitch,larva,-2.265811222,-0.288857847,0.378060503,41,32,11.21814,23,0.00408116,0.156049349,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-145,0.0233002,0.0691425,-0.004325,LL109_AG1,0.9697,42851224,lecontei,Lexington,KY,Central,38.02395556,-84.531925,mugo,larva,-2.265684575,-0.409537823,0.383523919,45,32,11.31167,23,0.003883139,0.146524764,lecontei_KY,0,1,0,0.09,0,0.91,0,0,0.9764,0.0236
21074D-06-146,0.0231548,0.0696505,-0.00401931,LL112_AG1,0.9797,46759252,lecontei,Lexington,KY,Central,38.02395556,-84.531925,mugo,larva,-2.265684575,-0.409537823,0.383523919,45,32,9.831982,24.8,0.001772527,0.152345149,lecontei_KY,0.0021,0.9979,0.0021,0.0898,0,0.9102,0,0,0.9851,0.0149
21074D-06-147,0.0235159,0.0696585,-0.00430754,LL113_AG1,0.98,47133446,lecontei,Lexington,KY,Central,38.02395556,-84.531925,mugo,larva,-2.265684575,-0.409537823,0.383523919,45,32,9.851051,24.8,0.002086463,0.158433236,lecontei_KY,0,1,0,0.09,0,0.91,0,0,0.9834,0.0166
21074D-06-148,0.0234236,0.0687836,-0.00435654,LL117_AG1,0.94285,46987706,lecontei,Lexington,KY,Central,37.98361111,-84.4175,loblolly,larva,-2.131433649,-0.853653371,0.361180771,36,31,10.27879,24.7,0.002477674,0.161516636,lecontei_KY,0,1,0,0.09,0,0.91,0,0,0.9641,0.0359
21074D-06-149,0.0237841,0.0728455,-0.00478272,LL121_AG1,0.91585,46736682,lecontei,Lexington,KY,Central,38.014,-84.504,pitch,larva,-2.265811222,-0.288857847,0.378060503,41,32,11.51724,23.6,0.004168095,0.140319905,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-150,0.023601,0.0710123,-0.00466609,LL122_AG1,0.89335,45259158,lecontei,Lexington,KY,Central,38.014,-84.504,pitch,larva,-2.265811222,-0.288857847,0.378060503,41,32,10.85231,23.9,0.003298736,0.158989368,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-151,0.0234134,0.0700063,-0.00465242,LL123_AG1,0.91915,45209902,lecontei,Lexington,KY,Central,38.033416,-84.507113,mugo,larva,-2.296834876,-0.331960286,0.375405141,48,32,10.22112,23.7,0.002772291,0.162983412,lecontei_KY,0,1,0,0.09,0,0.91,0,0,0.9948,0.0052
21074D-06-152,0.0234046,0.0696485,-0.0045913,LL124_AG1,0.9449,47772014,lecontei,Lexington,KY,Central,38.033416,-84.507113,mugo,larva,-2.296834876,-0.331960286,0.375405141,48,32,9.81276,24.7,0.002033335,0.161585071,lecontei_KY,0,1,0,0.09,0,0.91,0,0,0.9834,0.0166
21074D-06-153,0.023308,0.0689849,-0.00428925,LL125_AG1,0.98385,39777570,lecontei,Lexington,KY,Central,37.98361111,-84.4175,loblolly,larva,-2.131433649,-0.853653371,0.361180771,36,31,12.66418,20.9,0.007838724,0.160033297,lecontei_KY,0,1,0,0.09,0,0.91,0,0,0.9572,0.0427
