ID,centroid_size_right,Comp1,Comp2,Comp3,Comp4,Comp5,Cutwindow_length_right,Sut1_length_right,Sut2_length_right,Sut3_length_right,Sut4_length_right,Sut5_length_right,Sut6_length_right,Arc1_width_right,Arc2_width_right,Arc3_width_right,Arc4_width_right,Arc5_width_right,Arc6_width_right,Rightface_len,cut_edge_length,window_to_edge1,window_to_edge2,Intersect_to_top_dist_right,dist_arc2_arc3_right,dist_arc3_arc4_right,dist_arc4_arc5_right,Rightface_height1,Rightface_height2,Rightface_height3,Rightface_height4,Rightface_height5,Rightface_height6,Rightface_height7,cutting_depth1,cutting_depth2,rail_length,window_to_rail
LBX010V04,2.032417982,-0.001880057,0.004648902,0.017256891,-0.001847518,0.008896348,0.487356553,0.197552854,0.133705123,0.102622122,0.071771652,0.061514307,0.061348187,0.120876507,0.116747634,0.092899569,0.085529469,0.067038049,0.070192379,1.289371293,0.256453368,0.302007699,0.22107216,0.064703787,0.116304127,0.090462368,0.07565884,0.214771716,0.214066158,0.212477293,0.216983916,0.230606721,0.264237488,0.410501754,0.061783169,0.062628109,0.941526102,0.152775685
LBX010V06,2.076954577,-0.006850647,-0.008506229,-0.016027013,0.000201869,-0.003055899,0.5176655,0.172087797,0.117751476,0.087187614,0.059359414,0.064301866,0.081296002,0.119095676,0.126661281,0.101405966,0.076594125,0.073792412,0.078706353,1.325176913,0.249411808,0.308878374,0.221581678,0.06080995,0.110706278,0.089144489,0.078089692,0.197664969,0.206736789,0.197112963,0.208313826,0.226448228,0.239764426,0.393844639,0.064701855,0.065017305,0.96205543,0.144170767
LBX010V07,2.074424184,-0.004812044,-0.007549886,-0.007302778,-0.004088704,-0.000135676,0.515418519,0.181704871,0.121590501,0.091204441,0.063111409,0.042318081,0.066312065,0.124318985,0.128913964,0.102535555,0.078928385,0.078174484,0.066976488,1.315541124,0.248901748,0.298651251,0.220492902,0.066297813,0.118159553,0.092597732,0.076966551,0.212516588,0.212771826,0.207011715,0.217243665,0.225087738,0.246381107,0.395380184,0.070709122,0.068676925,0.958342762,0.170458939
LBX010V09,2.052809619,-0.011751746,0.001355662,0.018067792,0.007311475,-0.003120348,0.513694666,0.18985692,0.132012462,0.097210082,0.057269276,0.063469757,0.064193536,0.128288581,0.112282367,0.118608263,0.071496084,0.071404482,0.069174056,1.295176085,0.241384776,0.286463436,0.210814729,0.063780326,0.10966426,0.097180296,0.076790104,0.215891871,0.215983796,0.209915078,0.220950515,0.23137582,0.254928716,0.389098471,0.058208676,0.059273772,0.947299583,0.152516917
LBX010V12,2.098183062,-0.004470543,-0.010072962,0.008584637,0.00941321,-0.000224808,0.511808421,0.192575492,0.117451352,0.08536422,0.060850637,0.051453377,0.065554939,0.131406925,0.121112881,0.102353554,0.074852388,0.081416276,0.074175535,1.34244747,0.251730014,0.307522032,0.222964504,0.059836862,0.112720983,0.087638462,0.080527511,0.20917899,0.206577637,0.204063127,0.212686859,0.22791448,0.256998307,0.38659934,0.063560994,0.067391765,0.983066102,0.155312234
LBX010V16,2.09583085,0.008696147,-0.02224527,0.006700885,0.001145462,0.001188323,0.50187354,0.191801277,0.119110411,0.084944806,0.063897809,0.050624599,0.080799629,0.139247154,0.120845066,0.103056975,0.080163957,0.079437586,0.068423388,1.341104623,0.249763568,0.31363128,0.237651531,0.06790891,0.11751736,0.09137817,0.077211722,0.213602341,0.205299781,0.202230463,0.210598029,0.228591885,0.26074175,0.401527546,0.066330234,0.072091192,0.990324215,0.155405952
LBX010V17,2.121765736,-0.004132949,-0.000856065,0.00796953,0.006428779,-0.008545481,0.522105009,0.20360555,0.135208358,0.099553905,0.066789296,0.045774775,0.07224327,0.144062938,0.126994331,0.111041344,0.089212611,0.075081289,0.0719,1.344938303,0.259515799,0.302908319,0.22292584,0.064715145,0.110063618,0.097898927,0.083510778,0.218957096,0.212287282,0.218469037,0.222277147,0.238913708,0.270450088,0.407648991,0.065144225,0.068029552,0.979114237,0.166543808
LBX010V18,2.074367884,0.002400836,-0.003901919,-0.005723462,0.003414743,0.003711216,0.514938958,0.206674261,0.132624131,0.093564523,0.059998167,0.051330011,0.089049761,0.133718099,0.129539531,0.102477559,0.07572219,0.085576223,0.064792052,1.31950665,0.254844835,0.302354312,0.219891655,0.075016865,0.116193287,0.086027031,0.082257219,0.210152825,0.209351188,0.204767112,0.212565143,0.237437655,0.270588119,0.395949454,0.074863609,0.07233063,0.969323728,0.15849571
LBX010V24,2.144736908,0.002303435,0.003875929,0.003227584,-0.000216932,-0.001801526,0.526974648,0.199463405,0.147393691,0.10615126,0.075248123,0.057661512,0.053225276,0.117106191,0.11877786,0.122067891,0.081160705,0.076875289,0.071125804,1.363620493,0.270044533,0.309803309,0.228445179,0.062667137,0.109184294,0.099068057,0.077161778,0.210152183,0.212509882,0.210284617,0.223917954,0.243276489,0.262321654,0.414291311,0.058671373,0.062292857,1.002113791,0.154900291
LBX010V26,2.059965475,-0.015253954,-0.019340979,-0.000191129,-0.013820212,0.003802922,0.505619383,0.189574735,0.126878209,0.087164213,0.059202872,0.053312663,0.082128253,0.129612538,0.133809006,0.109549715,0.065068041,0.072783583,0.071208497,1.290341366,0.23867193,0.271727989,0.202951669,0.071335826,0.108668763,0.094696568,0.081713769,0.212082083,0.207194064,0.199121998,0.209311275,0.230862253,0.255911801,0.394409052,0.054200092,0.067053561,0.96259064,0.154436071
LBX010V27,2.026249063,0.012659813,0.020772944,0.020110195,0.001067976,-0.000370924,0.486979281,0.224168084,0.163988597,0.114907485,0.074672619,0.068143672,0.065111366,0.1252998,0.134431284,0.102940857,0.075567784,0.079915768,0.067038049,1.28578756,0.246766225,0.29628353,0.216403905,0.067736622,0.114411363,0.090820813,0.068403582,0.212561544,0.214783472,0.217412166,0.227886485,0.254704731,0.288515961,0.430083027,0.064146395,0.067095454,0.92763744,0.146670856
LBX011V01,2.089358542,-0.004709381,-0.023314536,-0.009875949,0.00074268,-0.010185243,0.511731502,0.197521265,0.119568767,0.080514595,0.059002797,0.051811678,0.060429298,0.152656019,0.139809656,0.114452304,0.069,0.090832869,0.068508832,1.330236949,0.235557742,0.298949845,0.215340126,0.067792109,0.117679607,0.102072131,0.076966291,0.196318568,0.203555643,0.205044581,0.20424664,0.225533057,0.260959231,0.382490889,0.083452082,0.076925938,0.962862836,0.153956
LBX011V02,2.107714871,-0.019238739,0.000308313,0.005996582,-0.001609586,-0.021044411,0.523615164,0.203022092,0.137528506,0.108724836,0.075081289,0.06697298,0.07507443,0.126447222,0.124011975,0.128497549,0.076251426,0.079216791,0.064437567,1.343750903,0.249050437,0.348102643,0.235275031,0.058904159,0.103296079,0.092509729,0.083546933,0.213434393,0.214257135,0.212634828,0.222176911,0.240222085,0.264014128,0.407325239,0.073963572,0.073198702,0.964145347,0.147362478
LBX011V03,2.068170916,-0.026946281,-0.007833967,-0.017319052,-0.003460695,-0.00322559,0.516381409,0.191172017,0.1226612,0.086938426,0.063503071,0.059794481,0.067529253,0.134692576,0.129450068,0.111568185,0.073333008,0.077765867,0.07445267,1.30956636,0.229738286,0.285302681,0.199932414,0.06550374,0.111860002,0.089057285,0.074187398,0.196915032,0.207703105,0.205730916,0.213784939,0.232729822,0.250572644,0.389113158,0.074078067,0.067995882,0.93095038,0.149767019
LBX011V04,2.059382049,-0.008592504,-0.001828207,0.015406968,0.016274448,-0.004348334,0.48976527,0.193295654,0.125288028,0.09279278,0.065940352,0.055975173,0.057130115,0.140032461,0.128288581,0.12073943,0.076666812,0.078817384,0.0647,1.284016452,0.237697329,0.301262178,0.232717038,0.0404,0.117712361,0.096232479,0.074573051,0.199990625,0.203565469,0.203243425,0.21306384,0.231755216,0.253829273,0.407446291,0.061143274,0.071480697,0.956369662,0.147591328
